SCT,SRT,SNOMED Fully Specified Name
371849007,R-0032C,Mitral diastolic filling period (observable entity)
371850007,R-002D2,Aortic systolic ejection period (observable entity)
371851006,R-002D0,Angioplasty inflation pressure (observable entity)
371852004,R-002CF,Angioplasty inflation duration (observable entity)
371853009,R-002F5,"Derived period, non-valve (observable entity)"
371854003,R-0036C,Rotational atherectomy speed (observable entity)
371855002,R-00398,Hyperkinetic ventricular wall (finding)
371856001,R-0033F,Normal left heart hemodynamics (finding)
371857005,R-00340,Normal left ventricular systolic function and wall motion (finding)
371858000,R-0033E,Normal left and right heart hemodynamics (finding)
371859008,R-00342,Normal right heart hemodynamics (finding)
371860003,R-0033D,Normal coronary arteries (finding)
371861004,R-00328,Mild intimal coronary irregularities without significant stenoses (finding)
371862006,R-002F3,Depression of left ventricular systolic function (finding)
371863001,R-0039F,Perfusion finding (finding)
371864007,R-00381,Thrombolysis in Myocardial Infarction grade 2: partial perfusion (finding)
371865008,R-00382,Thrombolysis in Myocardial Infarction grade 3: complete perfusion (finding)
371866009,R-0037F,Thrombolysis in Myocardial Infarction grade 1: penetration without perfusion (finding)
371867000,R-0037E,Thrombolysis in Myocardial Infarction grade 0: no perfusion (finding)
371868005,R-00327,Mild hypokinesis of cardiac wall (finding)
371869002,R-0032F,Moderate hypokinesis of cardiac wall (finding)
371870001,R-00370,Severe hypokinesis of cardiac wall (finding)
371871002,R-00373,Single beats - numeric estimation technique (qualifier value)
371872009,R-003A1,Post stenotic dilation (finding)
371873004,R-00314,Luminal irregularities of coronary artery (finding)
371874005,R-002E3,Cardiac catheterization gradient assessment phase (qualifier value)
371875006,R-002FB,Device withdrawn and / or removed (finding)
371876007,R-002F7,Device at site of interest (finding)
371877003,R-002F8,Device inserted into sheath (finding)
371879000,R-002C4,Abnormally high (qualifier value)
371880002,R-002C5,Abnormally low (qualifier value)
371883000,R-00348,Outpatient procedure (procedure)
371884006,R-00363,Range of measurement uncertainty (qualifier value)
371885007,R-00362,Range of lower measurement uncertainty (qualifier value)
371886008,R-00364,Range of upper measurement uncertainty (qualifier value)
371887004,R-00338,Ninetieth percentile (qualifier value)
371888009,R-00397,Fifth percentile (qualifier value)
371889001,R-00337,Ninety-fifth percentile (qualifier value)
371890005,R-00377,Tenth percentile (qualifier value)
371892002,R-002F2,Delivered radiation dose (observable entity)
371893007,R-0036B,Restenotic lesion of coronary artery (finding)
371894001,R-002E2,Bifurcation lesion of coronary artery (disorder)
371895000,R-002EF,Culprit lesion of coronary artery (finding)
371896004,R-0037C,Thrombolytic agent administered less than 3 hours before percutaneous coronary intervention (situation)
371897008,R-0037A,Thrombolytic agent administered between 3 and 6 hours before percutaneous coronary intervention (situation)
371898003,R-0031B,Medication administered before lab visit (situation)
371899006,R-0031A,Medication administered after lab visit (situation)
371900001,R-00320,Medication not administered (situation)
371901002,R-0031E,Medication administered less than 72 hours before percutaneous coronary intervention (situation)
371902009,R-00399,Medication administered after percutaneous coronary intervention (situation)
371903004,R-0039A,Medication administered during percutaneous coronary intervention (situation)
371904005,R-0031F,Medication administered prior to percutaneous coronary intervention (situation)
371905006,R-0031C,Medication administered during lab visit (situation)
371906007,R-0037B,Thrombolytic agent administered between 6 hours and 7 days before percutaneous coronary intervention (situation)
371907003,R-0034A,Oxygen administration by nasal cannula (procedure)
371908008,R-00349,Oxygen administration by mask (procedure)
371909000,R-00315,Magnet induced pacing (procedure)
371910005,R-002D9,Atrioventricular sequential pacing (procedure)
371911009,R-00318,Measurement of blood pressure using cuff method (procedure)
371912002,R-002E1,Best value - numeric estimation technique (qualifier value)
371913007,R-00355,Point source - numeric estimation technique (qualifier value)
371914001,R-00353,Peak to peak - numeric estimation technique (qualifier value)
371915000,R-002FC,Diffuse disease of coronary artery (finding)
371916004,R-0036A,Representative - numeric estimation technique (qualifier value)
371917008,R-00346,One standard deviation above mean (qualifier value)
371918003,R-00388,Two standard deviations below mean (qualifier value)
371919006,R-00347,One standard deviation below mean (qualifier value)
371920000,R-00387,Two standard deviations above mean (qualifier value)
371922008,R-00335,Multiple irregularities (qualifier value)
371923003,R-00329,Mild to moderate (qualifier value)
371924009,R-00330,Moderate to severe (qualifier value)
371925005,R-00333,Most significant (qualifier value)
371926006,R-0030C,Highly significant (qualifier value)
371928007,R-00345,Not significant (qualifier value)
371931008,R-002E9,Combined diagnostic and therapeutic (procedure)
371933006,R-0038B,Upper limit of reference range (qualifier value)
371934000,R-0039B,Normality undetermined (qualifier value)
371951007,R-003AA,Vena anonyma (body structure)
371952000,R-00376,Systemic arterial blood (substance)
371953005,R-0035B,Pulmonary artery blood (substance)
371954004,R-0035E,Pulmonary vein blood (substance)
372073000,T-A010F,Cerebral hemisphere structure (body structure)
372074006,T-14122,Skeletal muscle structure of chest wall (body structure)
372242005,T-AA092,Vitreous body part (body structure)
372249001,R-00274,Tumor margin status (observable entity)
372276001,R-00288,Nottingham Combined Grade (observable entity)
372460008,G-D173,Intracardiac route (qualifier value)
372463005,G-D17C,Intracoronary route (qualifier value)
372464004,G-D17D,Intradermal route (qualifier value)
372480009,C-00211,"Macrolide (class of antibiotic, substance) (substance)"
372578001,F-616E7,Plasma expander (substance)
372580007,F-616EB,Bronchodilator (substance)
372602008,F-616FE,Metronidazole (substance)
372614000,F-6171D,Sedative (substance)
372656001,F-6188F,Opiate antagonist (substance)
372664007,R-F2B1D,Benzodiazepine (substance)
372665008,F-61898,Non-steroidal anti-inflammatory agent (substance)
372666009,F-61899,Skeletal muscle relaxant (substance)
372677003,C-0023B,Lincomycin (substance)
372681003,F-618A5,Hemostatic agent (substance)
372682005,F-618A6,Diphenhydramine (substance)
372693007,F-618AE,Class IV antiarrhythmic agent (substance)
372695000,F-618AF,Diuretic (substance)
372700007,F-618B5,Nitrate-based vasodilating agent (substance)
372703009,R-F2B1F,Pentobarbital (substance)
372722000,C-0024C,Quinolone -class of antibiotic- (substance)
372724004,F-61916,Succinylcholine (substance)
372735009,C-0024E,Vancomycin (substance)
372784001,F-61955,Papaverine (substance)
372787008,F-61957,Vasodilator (substance)
372788003,C-00257,Sulfonamide -class of antibiotic- (substance)
372790002,F-61959,Nondepolarizing agent (substance)
372798009,R-F2B23,Barbiturate (substance)
372806008,F-61969,Antihistamine (substance)
372813008,F-6196E,Antiarrhythmic agent (substance)
372855004,F-61995,Class III antiarrhythmic agent (substance)
372862008,F-6199A,Anticoagulant (substance)
372863003,F-6199B,Phentolamine (substance)
372872006,F-619A3,Bile acid sequestrant antilipemic agent (substance)
372881000,F-619AA,Vasoconstrictor (substance)
372901004,R-F2B27,Butabarbital (substance)
372906009,F-619EF,Benzodiazepine antagonist (substance)
373061006,R-002F6,Device applied to patient (finding)
373062004,R-002FA,Device used (finding)
373066001,R-0038D,Yes (qualifier value)
373067005,R-00339,No (qualifier value)
373068000,R-0038A,Undetermined (qualifier value)
373095005,R-002ED,Coronary artery fistula to right atrium (disorder)
373098007,R-00317,Mean - numeric estimation technique (qualifier value)
373099004,R-00319,Median - numeric estimation technique (qualifier value)
373100007,R-0032E,Mode - numeric estimation technique (qualifier value)
373102004,R-003AC,Specimen from breast obtained by image guided core biopsy (specimen)
373104003,R-002E6,Cardiac output measurement by thermal dye dilution method (procedure)
373105002,R-002E4,Cardiac catheterization test/challenge phase (qualifier value)
373108000,R-00357,Post percutaneous transluminal coronary angioplasty (finding)
373110003,R-00300,Emergency procedure (procedure)
373111004,R-0035A,Procedure in coronary care unit (procedure)
373112006,R-00302,Evaluation of murmur (procedure)
373113001,R-0036E,Routine procedure (procedure)
373115008,R-0036D,Routine - numeric estimation technique (qualifier value)
373116009,D3-29096,Acute mitral regurgitation (disorder)
373121007,R-00378,Test not done (qualifier value)
373122000,R-00344,Normal ventricular wall motion (finding)
373123005,R-0030D,Hyperkinesis of region of cardiac wall (finding)
373124004,R-00343,Normal size cardiac chamber (finding)
373125003,R-002C6,Abnormally small cardiac chamber (finding)
373126002,R-0032A,Mildly enlarged cardiac chamber (finding)
373127006,R-00331,Moderately enlarged cardiac chamber (finding)
373128001,R-00316,Markedly enlarged cardiac chamber (finding)
373129009,R-00341,Normal overall cardiac contractility (finding)
373131000,R-0033B,Non-restrictive ventricular septal defect (disorder)
373132007,R-0033C,Normal aortic root (finding)
373133002,R-00301,Enlarged aortic root (finding)
373134008,R-002CD,Aneurysm of aortic root (finding)
373135009,R-002D1,Annular abscess of aortic root (disorder)
373136005,R-0030B,Heart valve calcification (finding)
373137001,R-0030F,Immobile heart valve (finding)
373138006,R-00389,Ulcerated lesion of coronary artery (finding)
373140001,R-0033A,No thrombus (situation)
373141002,R-00356,Possible thrombus (situation)
373142009,R-002F1,Definite thrombus (situation)
373143004,R-00371,Severe thrombus (finding)
373147003,R-00321,Administration of medication not done due to contraindication (situation)
373148008,R-0037D,Thrombolytic agent not administered because contraindicated (situation)
373150000,R-003CA,"pNX: Regional lymph nodes cannot be assessed (e.g., previously removed, or not removed for pathologic study) (breast) (finding)"
373151001,R-003CB,"pN0: No regional lymph node metastasis histologically (i.e., none greater than 0.2 mm), no additional examination for isolated tumor cells (breast) (finding)"
373156006,R-003D0,"pN1: Metastasis in 1 to 3 axillary lymph nodes, and/or in internal mammary nodes with microscopic disease detected by sentinel lymph node dissection but not clinically apparent (breast) (finding)"
373162001,R-003D6,"pN2: Metastasis in 4 to 9 axillary lymph nodes, or in clinically apparent internal mammary lymph nodes in the absence of axillary lymph node metastasis (breast) (finding)"
373163006,R-003D7,pN2a: Metastasis in 4 to 9 axillary lymph nodes (at least one tumor deposit greater than 2.0 mm) (breast) (finding)
373164000,R-003D8,pN2b: Metastasis in clinically apparent internal mammary lymph nodes in the absence of axillary lymph node metastasis (breast) (finding)
373165004,R-003D9,"pN3a: Metastasis in 10 or more axillary lymph nodes (at least one tumor deposit greater than 2.0 mm), or metastasis to infraclavicular lymph nodes (breast) (finding)"
373166003,R-003DB,pN3c: Metastasis in ipsilateral supraclavicular lymph nodes (breast) (finding)
373167007,R-003DA,pN3b: Tumor of breast with metastasis as per American Joint Committee on Cancer 6th Edition definition (breast) (finding)
373169005,R-003DD,pM0: No distant metastasis (breast) (finding)
373170006,R-003DC,pMX: Distant metastasis cannot be assessed (breast) (finding)
373171005,R-003DE,pM1: Distant metastasis (breast) (finding)
373172003,R-003BA,pT1: Tumor 2 cm or less in greatest dimension (breast) (finding)
373173008,R-003B8,pTX: Primary tumor cannot be assessed (breast) (finding)
373174002,R-003B9,pT0: No evidence of primary tumor (breast) (finding)
373175001,R-003BB,pTis: Carcinoma in situ (breast) (finding)
373176000,R-003BC,pTis: Ductal carcinoma in situ (breast) (finding)
373177009,R-003BD,pTis: Lobular carcinoma in situ (breast) (finding)
373178004,R-003BE,pTis: Paget disease without invasive carcinoma (breast) (finding)
373179007,R-003BF,pT1mic: Microinvasion 0.1 cm or less in greatest dimension (breast) (finding)
373180005,R-003C0,pT1a: Tumor more than 0.1 cm but not more than 0.5 cm in greatest dimension (breast) (finding)
373182002,R-003C3,pT2: Tumor more than 2 cm but not more than 5 cm in greatest dimension (breast) (finding)
373183007,R-003C2,pT1c: Tumor more than 1 cm but not more than 2 cm in greatest dimension (breast) (finding)
373184001,R-003C4,pT3: Tumor more than 5 cm in greatest dimension (breast) (finding)
373185000,R-003C5,pT4: Tumor of any size with direct extension to chest wall or skin (breast) (finding)
373186004,R-003C6,"pT4a: Tumor of any size with extension to chest wall, not including pectoralis muscle (breast) (finding)"
373187008,R-003C7,pT4b: Tumor of any size with edema (including peau d'orange) or ulceration of the skin of the breast or satellite skin nodules confined to the same breast (breast) (finding)
373189006,R-003C8,pT4c: Tumor of any size with direct extension to chest wall (not including pectoralis muscle) and edema (including peau d'orange) or ulceration of the skin of the breast or satellite skin nodules confined to the same breast (finding)
373190002,R-003C9,pT4d: Inflammatory carcinoma (breast) (finding)
373197004,R-00286,"Polyp size, largest dimension (observable entity)"
373204007,R-003C1,pT1b: Tumor more than 0.5 cm but not more than 1 cm in greatest dimension (breast) (finding)
373206009,C-00216,"Tetracycline (class of antibiotic, substance) (substance)"
373219008,F-617EF,Antifungal (substance)
373228009,F-617F7,H1 antihistamine (substance)
373246003,F-6180B,Anticholinergic agent (substance)
373250005,F-6180F,Depolarizing agent (substance)
373254001,F-61814,beta-Blocking agent (substance)
373260001,F-6181B,Class I antiarrhythmic agent (substance)
373262009,C-0021C,Cephalosporin -class of antibiotic- (substance)
373263004,F-6181D,Cardiac adrenergic blocking agent (substance)
373265006,F-6181F,Analgesic (substance)
373270004,C-0021D,Penicillin -class of antibiotic- (substance)
373278006,F-61861,Class II antiarrhythmic agent (substance)
373288007,F-6186A,General anesthetic (substance)
373294004,F-6186F,Low molecular weight heparin (substance)
373297006,C-00231,Beta-lactam antibiotic (substance)
373304005,F-61878,Calcium channel blocker (substance)
373337007,F-618FE,Methylphenidate (substance)
373372005,F-02900,Histological grade finding (finding)
373464007,F-6182F,Ketamine (substance)
373476007,F-6183C,Midazolam (substance)
373477003,F-6183D,Local anesthetic (substance)
373488009,F-61848,Methohexital (substance)
373529000,F-618D7,Morphine (substance)
373530005,F-618D8,Caloric agent (substance)
373646006,F-61968,Giemsa stain (substance)
373682001,F-619B7,Wright stain (substance)
373738000,F-61639,Pancuronium (substance)
373746004,F-61642,Coagulant (substance)
373757009,F-6165A,Sodium chloride solution (substance)
373780001,F-6169A,Mescaline (substance)
373808002,R-41560,Curative - procedure intent (qualifier value)
373825000,R-408F2,Staging - procedure intent (qualifier value)
373846009,R-41561,Adjuvant - intent (qualifier value)
373847000,R-41562,Neo-adjuvant - intent (qualifier value)
373933003,R-424BE,Acute onset (qualifier value)
373945007,D3-90008,Pericardial effusion (disorder)
384668003,F-02B9B,Nottingham Combined Grade cannot be determined (finding)
384692006,P5-C018A,Intracavitary brachytherapy (procedure)
385294005,T-61007,Salivary gland structure (body structure)
385356007,R-00443,Tumor stage finding (finding)
385380006,R-00461,Metastasis category finding (finding)
385382003,R-00463,Node category finding (finding)
385385001,R-00465,pT category finding (finding)
385420005,F-61D54,Contrast media (substance)
385474004,L-8B946,Bos taurus taurus subspecies domestic European cattle (organism)
385484003,C-22830,Gram stain (substance)
385524004,R-41F90,Lower limit of reference range (qualifier value)
385651009,G-D30B,In progress (qualifier value)
385655000,G-D30F,Suspended (qualifier value)
385656004,G-D316,Ended (qualifier value)
385673002,G-D217,Interval (qualifier value)
386045008,T-0130A,Hair structure (body structure)
386053000,P0-009B4,Evaluation procedure (procedure)
386103008,T-D048E,Renal stone (substance)
386124003,R-10041,Transseptal catheter (physical object)
386125002,R-10042,Device crossed septum (finding)
386131004,R-10043,Ablation power (observable entity)
386132006,R-10044,Ablation frequency (observable entity)
386134007,R-10045,Significant (qualifier value)
386135008,R-10046,Significance undetermined (qualifier value)
386136009,R-10047,Standard deviation (qualifier value)
386137000,R-10048,Tortuous coronary artery (finding)
386138005,R-10049,Stented coronary artery (finding)
386139002,R-10050,Stenotic coronary artery (finding)
386140000,R-10051,Ectatic coronary artery (finding)
386509000,P0-0409B,Airway management (procedure)
386530009,F-02B35,Systemic vascular resistance (observable entity)
386616007,F-201BD,Shallow breathing (finding)
386661006,F-0A44A,Fever (finding)
386693003,C-68165,Ophthalmic phenylephrine (product)
386760001,P1-C0037,Topical local anesthetic (procedure)
386761002,P1-C0038,Local anesthesia (procedure)
386802000,P0-05CCA,Endometrial biopsy (procedure)
386839004,F-61AC5,Remifentanil (substance)
386841003,F-61AC9,Desflurane (substance)
386842005,F-61ACA,Sevoflurane (substance)
386910003,F-61B21,Anastrozole (substance)
387056004,C-00286,Linezolid (substance)
387085005,F-61C76,Cocaine (substance)
387124009,F-61C97,Thromboplastin (substance)
387146001,F-61A26,Droperidol (substance)
387150008,F-61A28,Bupivacaine (substance)
387176008,F-61A3F,Enflurane (substance)
387218008,F-61A66,Etomidate (substance)
387239001,F-61A76,Gentian violet (substance)
387258005,F-61A7F,Chlorpromazine (substance)
387264003,R-F2B2C,Diazepam (substance)
387286002,F-61A95,Methadone (substance)
387341002,F-61AC4,Heroin (substance)
387351001,F-61AFE,Halothane (substance)
387358007,F-61B05,Ephedrine (substance)
387362001,F-B2135,Epinephrine (substance)
387368002,F-61B0A,Isoflurane (substance)
387423006,F-61B48,Propofol (substance)
387448009,F-61BB2,Thiopental sodium (substance)
387480006,F-61BD0,Lidocaine (substance)
387560008,F-61C65,Alfentanil (substance)
387713003,P0-009C3,Surgical procedure (procedure)
387736007,P1-48145,Fine needle aspiration of breast (procedure)
388168008,L-8BA18,Genus Bos (organism)
388249000,L-8C3FB,Genus Capra (organism)
388254009,L-8C3FD,Genus Ovis (organism)
388393002,L-8B1FB,Genus Sus (organism)
388445009,L-000A9,Genus Equus (organism)
388490000,L-881FC,Genus Canis (organism)
388626009,L-000F9,Genus Felis (organism)
389080008,T-A0095,White matter structure of brain and spinal cord (body structure)
389081007,T-A0096,Gray matter structure of central nervous system (body structure)
389156006,A-00FAD,Goniolens (physical object)
392001008,A-00E8A,Scanning laser ophthalmoscope (physical object)
392004000,A-00E8B,Confocal scanning laser ophthalmoscope (physical object)
392007007,A-00E8C,Scanning laser polarimeter (physical object)
392012008,A-00FBE,Optical coherence tomography scanner (physical object)
392021009,P1-030C4,Lumpectomy of breast (procedure)
394774009,R-42501,Active problem (qualifier value)
394775005,R-42502,Inactive problem (qualifier value)
395112001,F-00F4E,Cardiovascular event risk (finding)
395511002,R-0045B,Polyp stalk length (observable entity)
395742005,C-14512,Indium chloride[111In] (substance)
395787009,C-B110E,Metaiodobenzylguanidine[123I] (substance)
395789007,C-B112D,Metaiodobenzylguanidine[131I] (substance)
395865006,C-11906,Rhenium[186Re] (substance)
395889004,F-66005,Streptokinase (substance)
395894004,C-B10FB,Tauroselcholic acid[75Se] (substance)
396017000,F-B022C,Dexamethasone sodium phosphate (substance)
396339007,M-35001,Thrombus (morphologic abnormality)
396345004,C-002B1,Carbapenem (substance)
396482007,R-10075,Left ventricle basal anteroseptal segment (body structure)
396487001,P1-65359,Sentinel lymph node biopsy (procedure)
396488006,L-80453,Ariégeois pony breed (organism)
396505009,L-80A45,Oregon rex cat breed (organism)
396646008,R-10076,Left ventricle basal inferoseptal segment (body structure)
396647004,R-10077,Left ventricle mid anteroseptal segment (body structure)
396649001,R-10078,Left ventricle mid inferoseptal segment (body structure)
396652009,R-10079,Left ventricle basal inferolateral segment (body structure)
396654005,R-1007A,Left ventricle basal anterolateral segment (body structure)
396655006,R-1007B,Left ventricle mid inferolateral segment (body structure)
396656007,R-1007C,Left ventricle mid anterolateral segment (body structure)
397138000,F-037BB,Mammography assessment (Category 0) - Need additional imaging evaluation (finding)
397140005,F-037BC,Mammography assessment (Category 1) - Negative (finding)
397141009,F-037BD,Mammography assessment (Category 2) - Benign finding (finding)
397143007,F-037BF,"Mammography assessment (Category 3) - Probably benign finding, short interval follow-up (finding)"
397144001,F-037C0,"Mammography assessment (Category 4) - Suspicious abnormality, biopsy should be considered (finding)"
397145000,F-037C1,Mammography assessment (Category 5) - Highly suggestive of malignancy (finding)
397199005,G-8430,Specimen from breast obtained by excision (specimen)
397247004,A-2B201,Slit lamp biomicroscope (physical object)
397263007,F-048FA,A-constant of intraocular lens (observable entity)
397363009,G-035B,Common femoral vein structure (body structure)
397364003,G-035A,Superficial femoral vein structure (body structure)
397405001,G-035C,Hilar renal artery (body structure)
397406000,G-035D,Collateral branch of vessel (qualifier value)
397407009,G-035E,Structure of first lumbar artery (body structure)
397408004,G-035F,Structure of second lumbar artery (body structure)
397409007,G-0360,Structure of third lumbar artery (body structure)
397410002,G-0361,Structure of fourth lumbar artery (body structure)
397411003,G-0362,Structure of fifth lumbar artery (body structure)
397412005,G-0363,Structure of sixth lumbar artery (body structure)
397413000,G-0364,Vessel lumen diameter (observable entity)
397414006,G-0365,Vessel outside diameter (observable entity)
397415007,G-0366,Vessel lumen cross-sectional area (observable entity)
397417004,G-0367,Regurgitant flow (observable entity)
397418009,G-0368,Anterior-middle cerebral artery bifurcation (body structure)
397419001,G-0369,Anterior-posterior cerebral artery bifurcation (body structure)
397421006,G-036A,Vessel origin (qualifier value)
397423009,G-036C,Transjugular intrahepatic portosystemic shunt (morphologic abnormality)
397425002,G-036D,Inferior right hepatic vein structure (body structure)
397427005,G-036B,Soleal vein (body structure)
397435008,G-036E,Posterior arch vein (body structure)
397437000,G-036F,Giacomini vein (body structure)
397439002,G-0370,Ileal vein structure (body structure)
397516006,P1-A3835,Photorefractive keratectomy (procedure)
397522002,A-00FCA,Keratoscope (physical object)
397559001,A-040F7,Phakic intraocular lens implant (physical object)
397755005,A-1450C,Pulmonary artery catheter (physical object)
397898000,G-D320,Stop time (qualifier value)
398010007,P1-0558A,Insertion of hip prosthesis (procedure)
398013009,A-1450B,Implantable venous access port (physical object)
398161000,R-305C3,Postoperative anesthesia care unit (environment)
398164008,DF-0070B,Anesthesia finish time (observable entity)
398201009,G-D321,Start time (qualifier value)
398239001,P1-0512E,Monitored anesthesia care sedation (procedure)
398325003,DF-0068E,Anesthesia start time (observable entity)
398665005,F-A558A,Vasovagal syncope (disorder)
398705004,F-61D6F,Cannabis (substance)
398979000,F-037AB,Pale complexion (finding)
398994001,G-A191,Five chamber view (qualifier value)
398996004,R-1028E,Leonard-George projection (qualifier value)
398998003,G-039C,Right ventricular inflow tract view (qualifier value)
399000008,R-10296,Mayer projection (qualifier value)
399001007,G-5216,Posterior emissive projection (qualifier value)
399002000,R-10299,Nolke projection (qualifier value)
399003005,R-10281,Hughston projection (qualifier value)
399004004,R-10246,Oblique axial projection (qualifier value)
399005003,R-10298,Miller projection (qualifier value)
399006002,R-10212,Left posterior oblique projection (qualifier value)
399007006,G-037C,Left ventricular peak diastolic tissue velocity during atrial systole (observable entity)
399009009,G-03AC,B mode ultrasound (qualifier value)
399011000,R-102D1,Axillary tail mammography view (qualifier value)
399012007,G-5220,Medial-lateral emissive projection (qualifier value)
399013002,R-1026D,Chassard-Lapin projection (qualifier value)
399020009,D3-20021,Congestive cardiomyopathy (disorder)
399022001,R-1029F,Pirie projection (qualifier value)
399023006,G-0380,Right ventricular peak systolic pressure (observable entity)
399024000,R-10295,May projection (qualifier value)
399025004,R-10282,Ischerwood projection (qualifier value)
399026003,R-102B1,Zanelli projection (qualifier value)
399027007,G-038F,Cardiovascular orifice diameter (observable entity)
399028002,R-10270,Clements projection (qualifier value)
399030000,G-0374,Left ventricular systolic area (observable entity)
399033003,R-10202,Frontal projection (qualifier value)
399036006,G-039A,Parasternal short axis view at the mitral valve level (qualifier value)
399037002,R-1028F,Lewis projection (qualifier value)
399038007,R-10210,Right posterior oblique projection (qualifier value)
399039004,G-038D,Pulmonary vein D-wave velocity time integral (observable entity)
399048009,G-038A,Main pulmonary artery peak velocity (observable entity)
399051002,G-037E,Left ventricular isovolumic contraction time (observable entity)
399055006,R-102D7,Spot compression of breast (procedure)
399058008,G-0382,Ratio of aortic valve acceleration time to aortic valve ejection time (observable entity)
399059000,R-10216,Postero-anterior oblique projection (qualifier value)
399061009,R-10241,Axial projection (qualifier value)
399062002,G-0386,Ratio of mitral valve acceleration time to mitral valve deceleration time (observable entity)
399063007,G-0377,Left ventricular semi-major axis diastolic dimension (observable entity)
399064001,G-03A2,2D mode ultrasound (qualifier value)
399065000,R-1026B,Causton projection (qualifier value)
399067008,R-102CD,Lateral projection (qualifier value)
399070007,G-038B,Pulmonary vein A-wave duration (observable entity)
399071006,R-102C3,Plantodorsal projection (qualifier value)
399073009,R-10276,Fuchs projection (qualifier value)
399074003,G-5207,Left anterior oblique emissive projection (qualifier value)
399075002,G-5208,Right posterior oblique emissive projection (qualifier value)
399080006,R-10288,Kuchendorf projection (qualifier value)
399082003,R-10277,Gaynor-Hart projection (qualifier value)
399083008,R-10280,Hsieh projection (qualifier value)
399086000,G-0392,Lateral mitral annulus structure (body structure)
399089007,G-5210,Oblique axial emissive projection (qualifier value)
399093001,G-0391,Medial mitral annulus structure (body structure)
399097000,P1-0512A,Administration of anesthesia (procedure)
399098005,R-102A3,Staunig projection (qualifier value)
399099002,R-10230,Latero-medial oblique projection (qualifier value)
399101009,R-1024B,Cranio-caudal projection exaggerated medially (qualifier value)
399103007,R-10275,Friedman projection (qualifier value)
399104001,G-0387,Mitral valve closure to opening time (observable entity)
399106004,G-03A0,Suprasternal long axis view (qualifier value)
399108003,G-5206,Right anterior oblique emissive projection (qualifier value)
399109006,G-0375,Left ventricular diastolic area (observable entity)
399110001,R-102C2,Tangential projection (qualifier value)
399118008,G-5223,Left lateral emissive projection (qualifier value)
399125001,R-102AC,Twining projection (qualifier value)
399127009,R-102A9,Teufel projection (qualifier value)
399129007,R-1027D,Holly projection (qualifier value)
399130002,R-102AF,West Point projection (qualifier value)
399132005,R-10252,Frontal-oblique axial projection (qualifier value)
399133000,G-037A,Left ventricular peak early diastolic tissue velocity (observable entity)
399135007,R-10220,Left anterior oblique projection (qualifier value)
399136008,G-5209,Left posterior oblique emissive projection (qualifier value)
399138009,R-1029E,Penner projection (qualifier value)
399139001,G-0396,Parasternal long axis view (qualifier value)
399140004,G-037B,Ratio of mitral valve peak velocity to left ventricular peak tissue velocity e-wave (observable entity)
399142007,R-10261,Albers-Schönberg projection (qualifier value)
399145009,G-03A1,Suprasternal short axis view (qualifier value)
399146005,R-10279,Grashey projection (qualifier value)
399148006,R-1026C,Chamberlain projection (qualifier value)
399152006,R-10284,Kandel projection (qualifier value)
399154007,G-0381,Right ventricular index of myocardial performance (observable entity)
399155008,G-0394,M-mode ultrasound (qualifier value)
399156009,R-1028A,Laquerriere-Pierquin projection (qualifier value)
399157000,R-1029A,Norgaard's projection (qualifier value)
399159002,G-5225,Latero-medial oblique emissive projection (qualifier value)
399160007,R-10204,Frontal oblique projection (qualifier value)
399161006,R-102D2,Cleavage mammography view (qualifier value)
399162004,R-10242,Cranio-caudal projection (qualifier value)
399163009,R-102D6,Magnified projection (qualifier value)
399166001,R-4099D,Fatal (qualifier value)
399167005,G-037D,Left ventricular peak systolic tissue velocity (observable entity)
399168000,R-1027F,Hough projection (qualifier value)
399169008,R-1028B,Lauenstein projection (qualifier value)
399171008,R-1029B,Ottonello projection (qualifier value)
399173006,R-10236,Left lateral projection (qualifier value)
399179005,R-1028D,Lawrence projection (qualifier value)
399181007,R-1029C,Pawlow projection (qualifier value)
399182000,R-102C1,Oblique projection (qualifier value)
399184004,R-10238,Left oblique projection (qualifier value)
399188001,R-102D0,Superolateral to inferomedial oblique projection (qualifier value)
399192008,R-1024A,Cranio-caudal projection exaggerated laterally (qualifier value)
399195005,G-039D,Right ventricular outflow tract view (qualifier value)
399196006,R-10244,Caudo-cranial projection (qualifier value)
399197002,R-102D3,Lateral rolling of breast (procedure)
399198007,R-10232,Right lateral projection (qualifier value)
399199004,R-1027B,Henschen projection (qualifier value)
399200001,G-039F,Subcostal short axis view (qualifier value)
399201002,R-10283,Judd projection (qualifier value)
399206007,R-1028C,Law projection (qualifier value)
399209000,R-102D5,Displacement of breast implant (procedure)
399211009,G-03AA,History of myocardial infarction (situation)
399212002,R-1026A,Camp-Coventry projection (qualifier value)
399214001,G-A19C,Apical four chamber view (qualifier value)
399215000,R-102B0,Wigby-Taylor projection (qualifier value)
399218003,R-10263,Arcelin projection (qualifier value)
399220000,R-10515,Transverse body position (finding)
399225005,R-10250,Oblique caudo-cranial projection (qualifier value)
399226006,R-102D4,Medial rolling of breast (procedure)
399227002,R-10286,Kemp Harper projection (qualifier value)
399229004,G-0385,Mitral valve A-wave duration (observable entity)
399232001,G-A19B,Apical two chamber view (qualifier value)
399234000,R-102A0,Rhese projection (qualifier value)
399235004,G-0383,Left atrium systolic volume (observable entity)
399236003,R-10234,Right oblique projection (qualifier value)
399237007,R-10262,Alexander projection (qualifier value)
